address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2149 45th Rd,Long Island City,NY,11101,2995000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2149-45th-Rd-Long-Island-City-NY-11101/31933890_zpid/
3552 Steinway St,Long Island City,NY,11101,7365000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3552-Steinway-St-Long-Island-City-NY-11101/2099595398_zpid/
1135 45th Ave APT 2D,Long Island City,NY,11101,640000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1135-45th-Ave-APT-2D-Long-Island-City-NY-11101/2092632754_zpid/
5009 5th St,Long Island City,NY,11101,4250000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5009-5th-St-Long-Island-City-NY-11101/31933686_zpid/
512 51st Ave # 2A,Long Island City,NY,11101,835000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/512-51st-Ave-2A-Long-Island-City-NY-11101/2092097759_zpid/
519 Borden Ave APT 9L,Long Island City,NY,11101,880000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/519-Borden-Ave-APT-9L-Long-Island-City-NY-11101/2092158116_zpid/
1063 Jackson Ave APT 6E,Long Island City,NY,11101,780000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1063-Jackson-Ave-APT-6E-Long-Island-City-NY-11101/89025201_zpid/
240 51st Ave APT 3P,Long Island City,NY,11101,1395000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/240-51st-Ave-APT-3P-Long-Island-City-NY-11101/89025089_zpid/
2728 Thomson Ave UNIT 237,Long Island City,NY,11101,1495000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2728-Thomson-Ave-UNIT-237-Long-Island-City-NY-11101/83054444_zpid/
217 51st Ave APT 222,Long Island City,NY,11101,1398000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/217-51st-Ave-APT-222-Long-Island-City-NY-11101/89069432_zpid/
