address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
59 Meadow Rd,Inwood,NY,11096,799000,2300.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/59-Meadow-Rd-Inwood-NY-11096/31263585_zpid/
30 Provenzano St UNIT 39,Inwood,NY,11096,179300,1440.0,2.0,3.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/30-Provenzano-St-UNIT-39-Inwood-NY-11096/2091900801_zpid/
268 Morris Ave,Inwood,NY,11096,699000,NA,6.0,4.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/268-Morris-Ave-Inwood-NY-11096/31263153_zpid/
293 Sheridan Blvd,Inwood,NY,11096,619000,1750.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/293-Sheridan-Blvd-Inwood-NY-11096/31262795_zpid/
Walnut Rd,Inwood,NY,11096,213500,1025.0,2.0,1.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/Walnut-Rd-Inwood-NY-11096/2130517361_zpid/
190 W Broadway,Inwood,NY,11096,320000,1434.0,4.0,2.0,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/190-W-Broadway-Inwood-NY-11096/31261456_zpid/
154 Davis Ave,Inwood,NY,11096,240000,834.0,NA,1.0,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/154-Davis-Ave-Inwood-NY-11096/31262926_zpid/
10 Walnut Rd,Inwood,NY,11096,207000,1025.0,2.0,1.0,NA,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/10-Walnut-Rd-Inwood-NY-11096/31262985_zpid/
1 Clinton Ave,Inwood,NY,11096,295000,NA,5.0,2.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1-Clinton-Ave-Inwood-NY-11096/31262275_zpid/
328 Finger Island Rd,Inwood,NY,11096,384000,1469.0,4.0,1.0,NA,Auction,http://www.zillow.com/homes/for_sale//homedetails/328-Finger-Island-Rd-Inwood-NY-11096/31263668_zpid/
416 Bayview Ave,Inwood,NY,11096,415000,1346.0,5.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/416-Bayview-Ave-Inwood-NY-11096/31262532_zpid/
26 Saint George Pl,Inwood,NY,11096,249888,NA,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/26-Saint-George-Pl-Inwood-NY-11096/31262176_zpid/
191 Elm Rd,Inwood,NY,11096,549000,1909.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/191-Elm-Rd-Inwood-NY-11096/63216525_zpid/
68 Soloff Blvd,Inwood,NY,11096,690000,NA,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/68-Soloff-Blvd-Inwood-NY-11096/31263622_zpid/
291 Doughty Blvd,Inwood,NY,11096,549000,NA,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/291-Doughty-Blvd-Inwood-NY-11096/31262131_zpid/
104 Jeanette Ave,Inwood,NY,11096,499000,1360.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/104-Jeanette-Ave-Inwood-NY-11096/31263056_zpid/
63 Church St,Inwood,NY,11096,399000,1348.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/63-Church-St-Inwood-NY-11096/31262298_zpid/
9 Maiden Ln,Inwood,NY,11096,524900,NA,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Maiden-Ln-Inwood-NY-11096/31262301_zpid/
261 Henry St,Inwood,NY,11096,549000,NA,4.0,3.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-Henry-St-Inwood-NY-11096/31262010_zpid/
75 John St,Inwood,NY,11096,619000,NA,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/75-John-St-Inwood-NY-11096/31262033_zpid/
154 Mott Ave,Inwood,NY,11096,320000,NA,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/154-Mott-Ave-Inwood-NY-11096/31262028_zpid/
320 Finger Island Rd,Inwood,NY,11096,585000,1628.0,4.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/320-Finger-Island-Rd-Inwood-NY-11096/31263670_zpid/
88 Bayview Ave,Inwood,NY,11096,659000,2177.0,5.0,3.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Bayview-Ave-Inwood-NY-11096/31262397_zpid/
14 Clinton Ave,Inwood,NY,11096,699999,NA,6.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/14-Clinton-Ave-Inwood-NY-11096/31262258_zpid/
Walcott Ave,Inwood,NY,11096,NA,1623.0,NA,1.0,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/241545881_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
26 Elm Ave,Floral Park,NY,11001,849000,2176.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/26-Elm-Ave-Floral-Park-NY-11001/72402471_zpid/
9515 238th St,Floral Park,NY,11001,550000,NA,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9515-238th-St-Floral-Park-NY-11001/31170573_zpid/
176 Schenck Blvd,Floral Park,NY,11001,595000,1412.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/176-Schenck-Blvd-Floral-Park-NY-11001/31189264_zpid/
223 Tulip Ave,Floral Park,NY,11001,589000,1551.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/223-Tulip-Ave-Floral-Park-NY-11001/31175198_zpid/
55 Tulip Ave APT 5,Floral Park,NY,11001,225000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/55-Tulip-Ave-APT-5-Floral-Park-NY-11001/2125401821_zpid/
8548 258th St,Floral Park,NY,11001,799000,2400.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8548-258th-St-Floral-Park-NY-11001/32104565_zpid/
9 Concord St,Floral Park,NY,11001,509000,1504.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Concord-St-Floral-Park-NY-11001/31175231_zpid/
259 Crest Ave,Floral Park,NY,11001,400000,1642.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/259-Crest-Ave-Floral-Park-NY-11001/31184015_zpid/
173 W Poplar St,Floral Park,NY,11001,679000,1310.0,4.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/173-W-Poplar-St-Floral-Park-NY-11001/31174428_zpid/
91 Tulip Ave APT FD3,Floral Park,NY,11001,245000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Tulip-Ave-APT-FD3-Floral-Park-NY-11001/2103011312_zpid/
26 Depan Ave,Floral Park,NY,11001,648000,NA,3.0,2.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/26-Depan-Ave-Floral-Park-NY-11001/31172013_zpid/
