address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
263 9th Ave APT 6B,New York,NY,10001,2599988,1536.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/263-9th-Ave-APT-6B-New-York-NY-10001/69510347_zpid/
15 Hudson Yards # 67E,New York,NY,10001,7575000,2497.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-67E-New-York-NY-10001/2091833309_zpid/
15 Hudson Yards # PH86D,New York,NY,10001,8475000,2515.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-PH86D-New-York-NY-10001/2091850740_zpid/
540 W 28th St PH A,New York,NY,10001,3550000,1755.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/540-W-28th-St-PH-A-New-York-NY-10001/2091832277_zpid/
15 Hudson Yards # 34G,New York,NY,10001,4420000,1460.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-34G-New-York-NY-10001/2091833307_zpid/
305 W 29th St,New York,NY,10001,5700000,786.0,27.0,6.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/305-W-29th-St-New-York-NY-10001/2115129373_zpid/
15 Hudson Yards # PH83B,New York,NY,10001,12810000,3203.0,4.0,5.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-PH83B-New-York-NY-10001/2091856305_zpid/
15 Hudson Yards # 76F,New York,NY,10001,5070000,1679.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-76F-New-York-NY-10001/2091857682_zpid/
15 Hudson Yards # 71E,New York,NY,10001,7570000,2292.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-71E-New-York-NY-10001/2091857683_zpid/
15 Hudson Yards # 69A,New York,NY,10001,9455000,2420.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-69A-New-York-NY-10001/2091911715_zpid/
15 Hudson Yards # 66B,New York,NY,10001,7935000,2320.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-66B-New-York-NY-10001/2091911709_zpid/
143 W 30th St APT 3B,New York,NY,10001,875000,606.0,1.0,1.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/143-W-30th-St-APT-3B-New-York-NY-10001/121186715_zpid/
236 W 26th St # 601/603,New York,NY,10001,4750000,4200.0,3.0,3.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/236-W-26th-St-601-603-New-York-NY-10001/2092025458_zpid/
550 W 29th St # 2B,New York,NY,10001,5900000,2269.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/550-W-29th-St-2B-New-York-NY-10001/2092077923_zpid/
252 W 30th St APT 3B,New York,NY,10001,2495000,1800.0,3.0,2.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-W-30th-St-APT-3B-New-York-NY-10001/31503359_zpid/
50 W 30th St # 3E,New York,NY,10001,2800000,1325.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-W-30th-St-3E-New-York-NY-10001/2098676782_zpid/
550 W 29th St # 3C,New York,NY,10001,4600000,1857.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/550-W-29th-St-3C-New-York-NY-10001/2092077922_zpid/
520 W 28th St # 28,New York,NY,10001,16000000,4220.0,4.0,5.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/520-W-28th-St-28-New-York-NY-10001/2095984314_zpid/
50 W 30th St # 8A,New York,NY,10001,2505000,1266.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-W-30th-St-8A-New-York-NY-10001/2092065214_zpid/
261 W 25th St APT 2E,New York,NY,10001,1565000,783.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-W-25th-St-APT-2E-New-York-NY-10001/2092076524_zpid/
1182 Broadway APT 6C,New York,NY,10001,1995000,941.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1182-Broadway-APT-6C-New-York-NY-10001/2091995735_zpid/
550 W 29th St # 5A,New York,NY,10001,5700000,2180.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/550-W-29th-St-5A-New-York-NY-10001/2092077924_zpid/
252 7th Ave APT 7W,New York,NY,10001,3200000,1508.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-7th-Ave-APT-7W-New-York-NY-10001/55501470_zpid/
1182 Broadway APT 13C,New York,NY,10001,2375000,937.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1182-Broadway-APT-13C-New-York-NY-10001/2091995736_zpid/
1182 Broadway APT 7A,New York,NY,10001,2375500,1015.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1182-Broadway-APT-7A-New-York-NY-10001/2091995734_zpid/
101 W 12th St APT 14R,New York,NY,10011,2600000,NA,2.0,3.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/101-W-12th-St-APT-14R-New-York-NY-10011/2091835635_zpid/
10 W 15th St APT 215,New York,NY,10011,850000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/10-W-15th-St-APT-215-New-York-NY-10011/2091850743_zpid/
305 W 16th St APT 5L,New York,NY,10011,1395000,689.0,1.0,1.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/305-W-16th-St-APT-5L-New-York-NY-10011/112083928_zpid/
10 W 15th St APT 1010,New York,NY,10011,1225000,NA,2.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/10-W-15th-St-APT-1010-New-York-NY-10011/2091849419_zpid/
270 W 17th St APT 4C,New York,NY,10011,1500000,847.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/270-W-17th-St-APT-4C-New-York-NY-10011/31502858_zpid/
16 W 19th St APT 2B,New York,NY,10011,1675000,881.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/16-W-19th-St-APT-2B-New-York-NY-10011/80012580_zpid/
139 W 19th St APT 7NE,New York,NY,10011,5995000,3150.0,2.0,3.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/139-W-19th-St-APT-7NE-New-York-NY-10011/72515771_zpid/
240 W 23rd St APT 7C,New York,NY,10011,2800000,1650.0,3.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/240-W-23rd-St-APT-7C-New-York-NY-10011/72515571_zpid/
524 W 19th St APT 1,New York,NY,10011,4500000,1986.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/524-W-19th-St-APT-1-New-York-NY-10011/97500987_zpid/
79 W 12th St APT 13A,New York,NY,10011,1495000,NA,2.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/79-W-12th-St-APT-13A-New-York-NY-10011/2091921717_zpid/
121 Waverly Pl # 2/3,New York,NY,10011,5950000,2750.0,4.0,3.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/121-Waverly-Pl-2-3-New-York-NY-10011/2091921213_zpid/
100 W 12th St APT 2G,New York,NY,10011,698000,600.0,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-W-12th-St-APT-2G-New-York-NY-10011/79495074_zpid/
453 W 19th St APT 4B,New York,NY,10011,849000,650.0,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/453-W-19th-St-APT-4B-New-York-NY-10011/72538082_zpid/
305 W 18th St APT 5F,New York,NY,10011,1200000,852.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/305-W-18th-St-APT-5F-New-York-NY-10011/31502435_zpid/
117 W 21st St,New York,NY,10011,5000000,2878.0,4.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/117-W-21st-St-New-York-NY-10011/61966564_zpid/
117 W 21st St # PHB,New York,NY,10011,10000000,4961.0,4.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/117-W-21st-St-PHB-New-York-NY-10011/2092005122_zpid/
121 W 11th St,New York,NY,10011,10950000,4704.0,5.0,4.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/121-W-11th-St-New-York-NY-10011/31499889_zpid/
60 W 13th St # 10E1,New York,NY,10011,948000,NA,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/60-W-13th-St-10E1-New-York-NY-10011/2094427449_zpid/
238 W 14th St,New York,NY,10011,10450000,NA,0.0,NA,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/238-W-14th-St-New-York-NY-10011/2106716756_zpid/
100 W 12th St APT 3B,New York,NY,10011,685000,515.0,0.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-W-12th-St-APT-3B-New-York-NY-10011/2118751382_zpid/
239 W 18th St # 3/1E,New York,NY,10011,11000000,6143.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/239-W-18th-St-3-1E-New-York-NY-10011/2091948716_zpid/
175 W 12th St APT 14F,New York,NY,10011,1700000,857.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/175-W-12th-St-APT-14F-New-York-NY-10011/63865194_zpid/
322 W 22nd St APT 6,New York,NY,10011,999000,800.0,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/322-W-22nd-St-APT-6-New-York-NY-10011/2108000350_zpid/
260 W 21st St APT 4L,New York,NY,10011,627000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/260-W-21st-St-APT-4L-New-York-NY-10011/2092106829_zpid/
10 W 15th St APT 513,New York,NY,10011,534000,NA,0.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/10-W-15th-St-APT-513-New-York-NY-10011/79977941_zpid/
88 Prince St # PHBC,New York,NY,10012,22500000,NA,4.0,3.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Prince-St-PHBC-New-York-NY-10012/2091885151_zpid/
100 Greene St FL 2,New York,NY,10012,3100000,NA,1.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-Greene-St-FL-2-New-York-NY-10012/72512024_zpid/
42 Crosby St # 5N,New York,NY,10012,8550000,2793.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/42-Crosby-St-5N-New-York-NY-10012/2091907608_zpid/
214 Mulberry St APT 4B,New York,NY,10012,899999,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/214-Mulberry-St-APT-4B-New-York-NY-10012/2102347870_zpid/
70 Greene St,New York,NY,10012,5995000,4209.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/70-Greene-St-New-York-NY-10012/118327428_zpid/
88 Bleecker St APT 4H,New York,NY,10012,810000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Bleecker-St-APT-4H-New-York-NY-10012/80379311_zpid/
184 Thompson St APT 4A,New York,NY,10012,1375000,657.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/184-Thompson-St-APT-4A-New-York-NY-10012/80010941_zpid/
465 W Broadway # 3N,New York,NY,10012,6800000,3000.0,3.0,4.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/465-W-Broadway-3N-New-York-NY-10012/82817147_zpid/
175 Bleecker St APT 1,New York,NY,10012,980000,NA,1.0,1.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/175-Bleecker-St-APT-1-New-York-NY-10012/82381988_zpid/
211 Thompson St # LK,New York,NY,10012,670000,NA,1.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/211-Thompson-St-LK-New-York-NY-10012/79983635_zpid/
95 Greene St # PHE,New York,NY,10012,7700000,2752.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/95-Greene-St-PHE-New-York-NY-10012/2091982676_zpid/
184 Thompson St APT 6C,New York,NY,10012,1475000,765.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/184-Thompson-St-APT-6C-New-York-NY-10012/80013543_zpid/
50 Bond St # 3FLR,New York,NY,10012,7500000,3000.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-Bond-St-3FLR-New-York-NY-10012/2105692262_zpid/
211 Elizabeth St,New York,NY,10012,10250000,NA,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/211-Elizabeth-St-New-York-NY-10012/97501897_zpid/
111 Mercer St,New York,NY,10012,11500000,3063.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/111-Mercer-St-New-York-NY-10012/122273008_zpid/
141 Sullivan St APT 12,New York,NY,10012,499999,NA,0.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/141-Sullivan-St-APT-12-New-York-NY-10012/72512154_zpid/
143 Sullivan St APT 7,New York,NY,10012,520000,NA,0.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/143-Sullivan-St-APT-7-New-York-NY-10012/89825975_zpid/
14 E 4th St RM 804,New York,NY,10012,2500000,1500.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/14-E-4th-St-RM-804-New-York-NY-10012/2092035881_zpid/
25 Minetta Ln APT 5B,New York,NY,10012,1150000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-Minetta-Ln-APT-5B-New-York-NY-10012/114438892_zpid/
77 Bleecker St APT 819N,New York,NY,10012,749000,NA,0.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/77-Bleecker-St-APT-819N-New-York-NY-10012/2092020923_zpid/
110 Thompson St APT 3E,New York,NY,10012,459000,NA,0.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/110-Thompson-St-APT-3E-New-York-NY-10012/2108579072_zpid/
203 Spring St APT 20,New York,NY,10012,639000,NA,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/203-Spring-St-APT-20-New-York-NY-10012/2095842870_zpid/
293 Lafayette St # PHV,New York,NY,10012,29500000,5672.0,4.0,11.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/293-Lafayette-St-PHV-New-York-NY-10012/2092814588_zpid/
181 Thompson St APT 21,New York,NY,10012,499000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/181-Thompson-St-APT-21-New-York-NY-10012/81772079_zpid/
181 Thompson St APT 19,New York,NY,10012,685000,NA,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/181-Thompson-St-APT-19-New-York-NY-10012/79494091_zpid/
67 Franklin St # 23B,New York,NY,10013,4975000,2990.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/67-Franklin-St-23B-New-York-NY-10013/2091848094_zpid/
91 Leonard St # 8C,New York,NY,10013,2670000,1526.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-8C-New-York-NY-10013/2091841903_zpid/
91 Leonard St # 7C,New York,NY,10013,2650000,1524.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-7C-New-York-NY-10013/2091841902_zpid/
91 Leonard St # 13A,New York,NY,10013,2900000,1476.0,2.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-13A-New-York-NY-10013/2091841909_zpid/
91 Leonard St # 4B,New York,NY,10013,1575000,871.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-4B-New-York-NY-10013/2091841911_zpid/
91 Leonard St # 12E,New York,NY,10013,1410000,699.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-12E-New-York-NY-10013/2091841912_zpid/
91 Leonard St # 17B,New York,NY,10013,3690000,1580.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-17B-New-York-NY-10013/2091841910_zpid/
91 Leonard St # 11E,New York,NY,10013,1400000,513.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-11E-New-York-NY-10013/2091841907_zpid/
91 Leonard St # 8E,New York,NY,10013,1370000,699.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-8E-New-York-NY-10013/2091841914_zpid/
91 Leonard St # 9E,New York,NY,10013,1380000,699.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-9E-New-York-NY-10013/2091841908_zpid/
91 Leonard St # 16D,New York,NY,10013,1485000,699.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-16D-New-York-NY-10013/2091841913_zpid/
177 Duane St # 3FLR,New York,NY,10013,3000000,NA,2.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/177-Duane-St-3FLR-New-York-NY-10013/2091922338_zpid/
122 Elizabeth St APT 6B,New York,NY,10013,1195000,774.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/122-Elizabeth-St-APT-6B-New-York-NY-10013/31496903_zpid/
143 Reade St APT 9C,New York,NY,10013,4998000,1860.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/143-Reade-St-APT-9C-New-York-NY-10013/2099744496_zpid/
17 Thompson St APT 5,New York,NY,10013,2995000,NA,2.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/17-Thompson-St-APT-5-New-York-NY-10013/79493444_zpid/
91 Leonard St # 14E,New York,NY,10013,4450000,1896.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Leonard-St-14E-New-York-NY-10013/2091921714_zpid/
325 W Broadway APT TH,New York,NY,10013,8490000,3033.0,2.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/325-W-Broadway-APT-TH-New-York-NY-10013/2091930808_zpid/
395 Broadway APT 12C,New York,NY,10013,2300000,1200.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/395-Broadway-APT-12C-New-York-NY-10013/31494605_zpid/
565 Broome St # S22A,New York,NY,10013,8450000,2512.0,4.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/565-Broome-St-S22A-New-York-NY-10013/2091921674_zpid/
565 Broome St # S22B,New York,NY,10013,5450000,1923.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/565-Broome-St-S22B-New-York-NY-10013/2091921675_zpid/
137 Duane St APT 3A,New York,NY,10013,11500000,5822.0,4.0,5.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/137-Duane-St-APT-3A-New-York-NY-10013/89332090_zpid/
311 W Broadway APT TH2,New York,NY,10013,5999999,2877.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/311-W-Broadway-APT-TH2-New-York-NY-10013/2092050473_zpid/
138 Grand St APT 3WF,New York,NY,10013,4695000,NA,2.0,3.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/138-Grand-St-APT-3WF-New-York-NY-10013/2098639914_zpid/
443 Greenwich St APT 3B,New York,NY,10013,12795000,3454.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/443-Greenwich-St-APT-3B-New-York-NY-10013/2092051684_zpid/
44 Lispenard St,New York,NY,10013,8000000,3000.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/44-Lispenard-St-New-York-NY-10013/2092037992_zpid/
1 Morton Sq APT 4FW,New York,NY,10014,5495000,2343.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1-Morton-Sq-APT-4FW-New-York-NY-10014/65322263_zpid/
